ID,Nº Solicitud,SOLICITANTE,NOMBRE,NOM_COMERCIAL,NECESIDAD,VOLUMEN COMPETENCIA,PRECIO COMPETENCIA,VOLUMEN PROPUESTO,ENVASE,PAIS DESTINO,ACEPTADO,FINALIZADO,MOTIVO DENEGADO,FECHA DE APROBACIÓN SOL.,TIEMPO ESTIMADO (días laborables),FECHA FINALIZACION ESTIMADA,FECHA DE FINALIZACION REAL,HORAS EMPLEADAS I+D,HORAS EMPLEADAS EN CALIDAD,PROBLEMAS,COMENTARIOS
1,2/2025,interno,FOLICAT ZNMO - MN,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Paraguay y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Paraguay,Sí,Sí,,2025-03-11,244,13/02/2026,10/02/2026,964,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación nutricional con microelementos (Zn-Mo-Mn) quelados, diseñada para estabilidad y compatibilidad en suspensión.

Análisis técnico y posibles causas detectadas en ensayos:
EDTA Zn mínimo; incompatibilidades al mezclar EDTA y sulfato con formación de precipitado blanco, no liberado.

Primera aproximación con xantana; persisten incompatibilidades y se observan grumos y ligera separación de fases.

Ensayo con xantana; incompatibilidades EDTA + sales que generan gelificación parcial y precipitado fino, no estable.

Repetición industrial solicitada por cliente; resultado no conforme por formación de poso y turbidez en volumen grande.

Se acuerda que el zinc 2% procede de EDTA; se garantiza forma quelatada para evitar cristalización y posos.

Se ajusta urea por exceso de N debido al EDTA añadido; versión estable sin olor amoniacal ni reacciones ácido-base marcadas.",
2,3/2025,interno,AMINO ACTIVE MATRISOJA,,"Se solicita el desarrollo de un corrector de micronutrientes complejados que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino incorporando como materias primas destacadas molibdeno en forma de heptamolibdato amónico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Brasil y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Brasil,Sí,Sí,,2025-03-20,237,13/02/2026,10/02/2026,936,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **AMINO ACTIVE MATRISOJA**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con ensayos liberados según resultados registrados. Referencia: ID-14.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo está **LIBERADO**.
Componentes principales: AGUA (37,45), ACIDO GLUCONICO LIQUIDO (20), CLORURO DE MANGANESO (14,5), CLORURO DE MAGNESIO (8), CLORURO DE ZINC (4,2).
Notas técnicas:
- Fórmula con elementos sensibles (pH/sales/reología); mantener control de proceso y pruebas de estabilidad.",
3,4/2025,interno,ARCHER ECLIPSE ACTIRON,,"Se solicita el desarrollo de un suspensión mineral concentrada que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas carbonato cálcico micronizado. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-03-31,230,13/02/2026,10/02/2026,908,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 09/jun/25 1:52 PM;712020:ee213c39-fa77-4db1-a980-c37a19aac53b;CUAJADO Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación con Ca-Zn-Mn orientada a uso nutricional y protección frente a alta radiación, adaptada a variante ACTIRON.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo inicial ACTIRON; problemas de compatibilidad y fases por saturación de carbonatos.

Ajustada para compatibilidad; evita precipitación de micronutrientes por pH controlado.",
4,5/2025,interno,KABON DOGRACID-70,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-03-31,47,03/06/2025,29/05/2025,176,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **KABON DOGRACID-70**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-41.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: DOGRACID-70 (41,4), MONOPROPILENGLICOL (34,6), AGUA (13,9), HIDROXIDO POTASICO (9,2), DF-152 (0,9).
Posibles causas (según la composición):
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.",
5,1/2025,externa,NITRO DELTA CA,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado España y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,España,Sí,Sí,,2025-03-31,230,13/02/2026,10/02/2026,908,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 03/feb/26 12:44 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;a 35ºC hace un poso blanco precipitado como cristalitos 19/nov/25 10:40 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Hacemos producto para calidad porque hay un pedido de 200 L y el prototipo tiene buena pinta a día de hoy. {{2025-03-31}} 22/abr/25 2:03 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;NOK se forma una capa blanca que puede ser carbonato de calcio porque es insoluble en agua y burbujea con acido fosforico Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación N-K con urea, nitratos y aditivos de estabilidad adaptada a variantes GLUC.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: CLORURO DE CALCIO 50% (43,00), N-20 (25,00), UREA BIG BAG (21,74), AGUA INICIAL (10,06), BIOPOL KF78 (0,20).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: CLORURO DE CALCIO 50% (30,00), UREA BIG BAG (21,74), AGUA INICIAL (20,06), N-20 (18,00), NITRATO DE CALCIO CRISTAL (10,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (34,00), AGUA INICIAL (33,44), UREA BIG BAG (21,74), GLUCONATO SODICO (4,00), AGUA (3,40).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (34,00), AGUA INICIAL (33,44), UREA BIG BAG (21,74), GLUCONATO SODICO (4,00), AGUA (2,40).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (31,00), UREA BIG BAG (21,74), AGUA INICIAL (17,70), LIGNOSULFONATO DE CALCIO LIQUIDO (13,00), HEPTAGLUCONATO DE SODIO (10,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (26,16), ACIDO GLUCONICO (3,00), KELIK BORO (2,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (24,16), ACIDO GLUCONICO (5,00), KELIK BORO (2,00).
Notas técnicas: sin incidencias destacables en los datos disponibles.

El ensayo resulta **NOK**.
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (23,16), ACIDO GLUCONICO (6,00), KELIK BORO (2,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (38,55), NITRATO DE CALCIO BIG BAG (31,50), UREA BIG BAG (21,75), ACIDO GLUCONICO (4,00), KELIK BORO (1,85).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo está **LIBERADO**.
Componentes principales: AGUA INICIAL (38,95), NITRATO DE CALCIO BIG BAG (31,50), UREA BIG BAG (21,75), GLUCONATO SODICO (4,00), KELIK B GRANEL (1,85).
Notas técnicas: sin incidencias destacables en los datos disponibles.

Ensayo inicial; versiones no conformes por tendencia a cristalizar y perder claridad con el tiempo.

Inestable; aparecen nubecitas y ligera formación de poso tras reposo y ensayo térmico.

No conforme; precipitación visible de sales que limita la solubilidad y la homogeneidad del producto.

No cumple estabilidad; separación de fases y ligera turbidez que apuntan a desajuste de solubilidades.

Versión estable pero pendiente de validación final; no muestra cristalizaciones, posos ni olor amoniacal.

No cumple estabilidad ni análisis; mezcla altamente reactiva.

Inestable; persistencia de precipitados; probable sobresaturación iónica.

Ajuste GLUC: versión estable; mejora quelación y evita depósitos salinos.

Inestable. No cumple pH ni claridad; indica reacciones ácido–base internas.",
6,6/2025,interno,AMINO SUPER COMO - NI,,"Se solicita el desarrollo de un corrector de micronutrientes complejados que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino incorporando como materias primas destacadas molibdeno en forma de heptamolibdato amónico, níquel complejado (EDTA). El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Paraguay y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Paraguay,Sí,Sí,,2025-04-02,228,13/02/2026,10/02/2026,900,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con aminoácidos y Co-Mo-Ni orientada a mejorar estabilidad, compatibilidad y comportamiento reológico en variantes con xantana.

Análisis técnico y posibles causas detectadas en ensayos:
Versión F5.1 con xantana; ensayo conforme, buena estabilidad coloidal sin posos ni fases.

Versión F5.3 con xantana; ensayo conforme, pendiente de liberación, con buena resistencia a estrés térmico.

Versión F5.2 con xantana; estable y pendiente de liberación, muestra viscosidad controlada y ausencia de cristalizaciones.",
7,7/2025,interno,MITIGADOR,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Paraguay y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Paraguay,Sí,Sí,,2025-04-02,228,13/02/2026,10/02/2026,900,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 24/jul/25 2:20 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;le salen bolitas de la goma xantana Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación con aminoácidos, extractos y polisacáridos orientada a mitigar estrés térmico/UV/salino, adaptada a variantes 23% GB.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo F1; estable y conforme, mantiene claridad y comportamiento reológico en frío y calor.

Inestable; diferencias en viscosidad y color, probablemente por oxidación ligera y reacciones secundarias de melaza.

No conforme; incompatibilidades persistentes con poso oscuro y cambios de textura tras ciclos térmicos.

Inestable; precipitados y variación de viscosidad que indican desajuste entre sales, aminoácidos y polisacáridos.

Versión estable pendiente de liberación; reología mejorada y sin cristalización en ensayos de estufa y frío.",
8,8/2025,interno,AMINOCAT - HIDROLIZADOS SICIT,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-04-08,59,27/06/2025,24/06/2025,224,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 29/abr/25 1:21 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;MIX 8-20 hace polvillo Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **AMINOCAT - HIDROLIZADOS SICIT**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-52.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: SICIT MIX 8-20 (50,00), AGUA INICIAL (44,35), NITRATO DE POTASIO (2,00), ACIDO CITRICO (1,80), FOSFATO MONOAMONICO PARA LIQUIDOS (1,65).
Posibles causas (según la composición):
- coexistencia nitratos/fosfatos con otros iones: riesgo de cristalización si hay alta carga salina.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.",
9,9/2025,interno,GRAINMAX RECLAMACION,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de resolución de incidencia técnica con corrección de desviaciones detectadas en condiciones reales de uso. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-04-08,224,13/02/2026,10/02/2026,884,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación nutritiva con aminoácidos, microelementos EDTA y extractos, orientada a mejorar compatibilidad y estabilidad en reclamaciones de producto.

Análisis técnico y posibles causas detectadas en ensayos:
Se eliminan algas y se añade manitol para evaluar compatibilidad; resultado inestable por deshidratación de coloides y descentralización de cargas.

Se retiran algas y se añade manitol para mejorar compatibilidad. F3 no queda bien; mezcla muestra separación por interacción polisacáridos–sales.",
10,1/2025,externa,NITRO DELTA K,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado España y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,España,Sí,Sí,,2025-04-14,220,13/02/2026,10/02/2026,868,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 16/abr/25 11:36 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;BEAPAC OP30C porque es acido 17/abr/25 9:07 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Cristalizan ambos exageradamente y ya se nota que con el etanol algo raro precipita Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación N-K con urea, nitratos y aditivos de estabilidad adaptada a variantes GLUC.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: CLORURO DE CALCIO 50% (43,00), N-20 (25,00), UREA BIG BAG (21,74), AGUA INICIAL (10,06), BIOPOL KF78 (0,20).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: CLORURO DE CALCIO 50% (30,00), UREA BIG BAG (21,74), AGUA INICIAL (20,06), N-20 (18,00), NITRATO DE CALCIO CRISTAL (10,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (34,00), AGUA INICIAL (33,44), UREA BIG BAG (21,74), GLUCONATO SODICO (4,00), AGUA (3,40).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (34,00), AGUA INICIAL (33,44), UREA BIG BAG (21,74), GLUCONATO SODICO (4,00), AGUA (2,40).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: NITRATO CALCICO CRISTAL (FERTIBERIA) (31,00), UREA BIG BAG (21,74), AGUA INICIAL (17,70), LIGNOSULFONATO DE CALCIO LIQUIDO (13,00), HEPTAGLUCONATO DE SODIO (10,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (26,16), ACIDO GLUCONICO (3,00), KELIK BORO (2,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (24,16), ACIDO GLUCONICO (5,00), KELIK BORO (2,00).
Notas técnicas: sin incidencias destacables en los datos disponibles.

El ensayo resulta **NOK**.
Componentes principales: UREA FOMALDEHIDO SC 28% N (36,00), NITRATO CALCICO CRISTAL FERTIBERIA (31,50), AGUA INICIAL (23,16), ACIDO GLUCONICO (6,00), KELIK BORO (2,00).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.
