ID,Nº Solicitud,SOLICITANTE,NOMBRE,NOM_COMERCIAL,NECESIDAD,VOLUMEN COMPETENCIA,PRECIO COMPETENCIA,VOLUMEN PROPUESTO,ENVASE,PAIS DESTINO,ACEPTADO,FINALIZADO,MOTIVO DENEGADO,FECHA DE APROBACIÓN SOL.,TIEMPO ESTIMADO (días laborables),FECHA FINALIZACION ESTIMADA,FECHA DE FINALIZACION REAL,HORAS EMPLEADAS I+D,HORAS EMPLEADAS EN CALIDAD,PROBLEMAS,COMENTARIOS

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (38,55), NITRATO DE CALCIO BIG BAG (31,50), UREA BIG BAG (21,75), ACIDO GLUCONICO (4,00), KELIK BORO (1,85).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo está **LIBERADO**.
Componentes principales: AGUA INICIAL (38,95), NITRATO DE CALCIO BIG BAG (31,50), UREA BIG BAG (21,75), GLUCONATO SODICO (4,00), KELIK B GRANEL (1,85).
Notas técnicas: sin incidencias destacables en los datos disponibles.

Ensayo inicial; versiones no conformes por tendencia a cristalizar y perder claridad con el tiempo.

Inestable; aparecen nubecitas y ligera formación de poso tras reposo y ensayo térmico.

No conforme; precipitación visible de sales que limita la solubilidad y la homogeneidad del producto.

No cumple estabilidad; separación de fases y ligera turbidez que apuntan a desajuste de solubilidades.

Versión estable pero pendiente de validación final; no muestra cristalizaciones, posos ni olor amoniacal.

No cumple estabilidad ni análisis; mezcla altamente reactiva.

Inestable; persistencia de precipitados; probable sobresaturación iónica.

Ajuste GLUC: versión estable; mejora quelación y evita depósitos salinos.

Inestable. No cumple pH ni claridad; indica reacciones ácido–base internas.",
11,10/2025,interno,RAYKAT BRIX CN,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas carbonato cálcico micronizado, extractos de algas de alta concentración. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado China y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,China,Sí,Sí,,2025-05-05,205,13/02/2026,10/02/2026,808,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 24/oct/25 8:38 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;se le ven puntitos en la estufa asi que repetimos pasando turrax 25/sep/25 8:21 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;NOK, en frío cristaliza un poco 03/jul/25 12:38 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;le aparecen pintitas al añadir las algas Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación potásica con B-Mo y algas, orientada a mejorar color, ºBrix y estabilidad en frío para adaptaciones China/Bioatlantis.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo inicial adaptación China; sin problemas críticos.

Adaptación China; puntitos visibles; pruebas con xantana y CMC para romper agregados.

Puntitos al añadir algas; cambio a CMC por reacción polisacárido–cationes.

Puntitos por algas; cambio de xantana a CMC. Coagulación parcial de extractos proteicos.

Adaptación con MI100. Cumple requisitos; sistema estable sin gelificaciones ni posos.

Modificaciones según registro. Cristaliza en frío por límites de solubilidad.

Ajustada según registro. Estable sin reacciones secundarias detectadas.

Modificaciones según registro. Cristalización leve en frío típica de sistemas con potasio elevado.

Puntitos visibles; se repite con turrax. Inestable en frío por cristalización de sales.

Modificaciones según registro. Presenta precipitados en estufa por inestabilidad térmica del sistema.

Repetido con turrax para eliminar puntitos; microprecipitados típicos de algas deshidratadas.",
12,11/2025,interno,SALSALT ARABIA,,"Se solicita el desarrollo de un bioestimulante aminoacídico que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas hidrolizado vegetal rico en aminoácidos libres. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Arabia Saudí y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Arabia Saudí,Sí,Sí,,2025-05-26,190,13/02/2026,10/02/2026,748,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **SALSALT ARABIA**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con ensayos liberados según resultados registrados. Referencia: ID-104.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (64,25), FORMIATO DE CALCIO (11), HEPTAGLUCONATO SODICO LIQUIDO (10), AAV-20 BIOIBERICA (5), CLORURO DE CALCIO LIQUIDO 50% (3).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (75,65), FORMIATO DE CALCIO (10,5), HEPTAGLUCONATO SODICO LIQUIDO (5), CLORURO DE CALCIO LIQUIDO 50% (3), GLICINA (2,1).
No hay señales claras en la fórmula para atribuir una causa única; posibles causas generales: incompatibilidad, precipitación por pH/sales, o separación de fases.
Siguiente iteración sugerida:
- hacer screening de pH, conductividad y estabilidad térmica; probar pequeñas variaciones de co-solventes/espesantes.

El ensayo es **OK pero no liberado** (pendiente de criterios internos/validación adicional).
Componentes principales: AGUA INICIAL (65,65), FORMIATO DE CALCIO (10,5), MELAZA (10), HEPTAGLUCONATO SODICO LIQUIDO (5), CLORURO DE CALCIO LIQUIDO 50% (3).
Notas técnicas: sin incidencias destacables en los datos disponibles.

El ensayo está **LIBERADO**.
Componentes principales: AGUA INICIAL (65,65), FORMIATO DE CALCIO (10,5), LIGNOSULFONATO DE CALCIO LIQUIDO (10), HEPTAGLUCONATO SODICO LIQUIDO (5), CLORURO DE CALCIO LIQUIDO 50% (3).
Notas técnicas: sin incidencias destacables en los datos disponibles.",
13,12/2025,interno,FLORONE KINETINA,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado México y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,México,Sí,Sí,,2025-06-02,84,25/09/2025,22/09/2025,324,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 25/ago/25 1:08 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Hace unos grumos que nos dice Alejandro que en produccion quitan con mas hidratacion de la goma y turrax asi que lo repetimos Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **FLORONE KINETINA**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-118.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (48,5080), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), AGUA (2,5000), HIDROXIDO POTASICO (2,2000).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (49,1080), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), AGUA (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (49,1080), FOSFATO MONOPOTASICO (19,7500), NORLAN 24/6 (15,0000), AGUA (2,5000), HIDROXIDO POTASICO (2,2800).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- ajustes ácido/base presentes: cambios de pH pueden inducir precipitación si hay sales/metal.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.",
14,13/2025,interno,PD - RAZORMIN,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-06-09,180,13/02/2026,10/02/2026,708,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación bioestimulante con aminoácidos y micronutrientes orientada a mejorar estabilidad y comportamiento en variantes PD.

Análisis técnico y posibles causas detectadas en ensayos:
Versión F2 conforme; ajustada para estabilidad y análisis, sin fases ni cambios de color en ensayo acelerado.

Versión F2 conforme; ajustada para estabilidad y análisis, sin fases ni cambios de color en ensayo acelerado.

No estable; incompatibilidades persistentes con aumento de turbidez y posos a medida que madura la muestra.",
15,14/2025,interno,"RAYKAT GOLD SUPREME 2,5% BRASIL",,"Se solicita el desarrollo de un corrector de micronutrientes complejados que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino incorporando como materias primas destacadas molibdeno en forma de heptamolibdato amónico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Brasil y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Brasil,Sí,Sí,,2025-06-09,180,13/02/2026,10/02/2026,708,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con microelementos y aminoácidos orientada a adaptación Brasil, mejorando estabilidad y compatibilidad.

Análisis técnico y posibles causas detectadas en ensayos:
Versión Brasil conforme; ajustada a requisitos locales y estable frente a temperatura y dureza de aguas.",
16,15/2025,interno,RAYKAT ROOT ECO MEJORA,,"Se solicita el desarrollo de un bioestimulante basado en extractos vegetales que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-06-09,180,13/02/2026,10/02/2026,708,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 05/sep/25 6:18 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Se revisa en calidad y hay dudas por si es demasiado espeso 20/oct/25 10:08 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;Se plantea una prueba industrial para terminar de valorar el producto y dar Ok definitivo Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación con aminoácidos, microelementos y CMC orientada a mejorar viscosidad, estabilidad y comportamiento en frío.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo inicial; inestable, con separación lenta y posible floculación de la fase coloidal.

Versión mejorada F1.3 con CMC; ajustada para viscosidad y estabilidad, evitando sedimentación y gelificaciones.

Viscosidad no conforme; estabilidad insuficiente con formación de hilos y pequeñas zonas con poso.",
17,16/2025,interno,BALSA,,"Se solicita el desarrollo de un formulación agronómica especializada que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-06-25,108,21/11/2025,18/11/2025,420,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 18/nov/25 4:14 PM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;en calor deja como 1 cm de poso, vamos a tratar de mejorarlo 29/jul/25 11:29 AM;712020:d8d35c01-546b-498f-aa7f-dbe2c966820c;se queda muy viscosa tanto en calor como en frio, vamos a bajar el prox am Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Proyecto interna formulación para **BALSA**: desarrollar/ajustar formulación para mejorar estabilidad, compatibilidad y rendimiento. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-150.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: RESIDUO BALSA HUMIC (60), AGUA INICIAL (25,2), GLICERINA (10), MASQUOL A150-40N (3), MONOPROPILENGLICOL (1).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.

El ensayo resulta **NOK**.
Componentes principales: AGUA INICIAL (45,2), RESIDUO BALSA HUMICO (40), GLICERINA (10), MASQUOL A150-40N (3), MONOPROPILENGLICOL (1).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.",
18,17/2025,interno,RAYKAT ROOT ECO COREA,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Corea y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Corea,Sí,Sí,,2025-07-03,162,13/02/2026,10/02/2026,636,,"Problema reportado originalmente:
Durante el desarrollo del proyecto se registraron algunos comentarios e incidencias que fueron gestionados internamente. En particular, se realizaron ajustes y revisiones derivados de las siguientes observaciones: 26/ago/25 2:41 PM;712020:ee213c39-fa77-4db1-a980-c37a19aac53b;10/07/2025: ajusto agua al preparar la fórmula para que sea exacta la cantidad y este el 100% 10/jul/25 9:20 AM;712020:ee213c39-fa77-4db1-a980-c37a19aac53b;10/07/2025: ajusto agua al preparar la fórmula para que sea exacta la cantidad y este el 100% Estas situaciones fueron analizadas y resueltas dentro del proceso habitual de validación.

Contexto técnico del proyecto:
Formulación con microelementos y aminoácidos adaptada para mercado Corea, orientada a estabilidad, viscosidad y homogeneidad.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo inicial. Ajuste de agua para completar 100%. Formula simple, sin incompatibilidades aparentes, se corrige densidad final.

Formó bolitas de goma. Se repite hidratación de la goma y se pasa por turrax. Fallo típico por hidratación incompleta que genera microaglomerados insolubles.

En F1 hizo poso; se sube xantana, se baja monoeta y se añade urea. El poso sugiere floculación de fases por baja viscosidad; se corrige para evitar sedimentación y mejorar compatibilidad.",
19,18/2025,interno,FITOMARE F1 - 19,,"Se solicita el desarrollo de un bioestimulante aminoacídico que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas extractos de algas de alta concentración, hidrolizado vegetal rico en aminoácidos libres. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-07-09,158,13/02/2026,10/02/2026,620,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con aminoácidos y extractos de algas orientada a estabilidad, color y compatibilidad para variantes XT95, MI-100 y Bioatlantis.

Análisis técnico y posibles causas detectadas en ensayos:
Ensayo con MI100 y norlan FFV19; presenta precipitados por incompatibilidad polisacáridos–sales metálicas.

Fitomare F1-19 con AAV20 y algas MI-100. Ensayo conforme; sin cristalizaciones ni olores anómalos.

Fitomare F1-19 con AAV20 y algas XT95. Estable y apto para calidad; no presenta precipitados ni gelificaciones.

Ensayo con KF78, XT95 y norlan FFV19. Presenta fases en estufa; inestabilidad térmica por rupturas de emulsión.",
20,19/2025,interno,ARCHER ECLIPSE METOLATS,,"Se solicita el desarrollo de un suspensión mineral concentrada que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico incorporando como materias primas destacadas carbonato cálcico micronizado. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-07-21,39,11/09/2025,08/09/2025,144,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Proyecto interna formulación para **ARCHER ECLIPSE METOLATS**: optimizar compatibilidad y estabilidad en formulaciones con cargas/minerales. Estado: con incidencias pendientes de resolver según resultados registrados. Referencia: ID-179.

Análisis técnico y posibles causas detectadas en ensayos:
El ensayo resulta **NOK**.
Componentes principales: CARBONATO CALCICO BRENNTAG MICRAJE FINO (59,1), AGUA INICIAL (29,869), METOLAT 514 (3), OXIDO ZINC (1,9), METOLAT 368 (1,75).
Posibles causas (según la composición):
- presencia de goma xantana (riesgo de gelificación/viscosidad alta y sensibilidad a sales).
- alto contenido en carbonatos: posible saturación y aparición de fases/posos.
- presencia de co-solventes (alcohol/MPG/DMSO): puede afectar solubilidad y estabilidad.
- óxidos metálicos: posible sedimentación si no hay buena dispersión o control de pH.
Siguiente iteración sugerida:
- reducir xantana o prehidratar; probar alternativa (CMC/HEC) y revisar orden de adición.
- bajar carga de carbonato o incorporar dispersante/anti-sedimento; revisar tamaño de partícula y viscosidad.",
21,20/2025,interno,PROTIUM MARRUECOS,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de mejora de formulación existente con optimización de estabilidad, compatibilidad y comportamiento físico-químico. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Marruecos y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Marruecos,Sí,Sí,,2025-07-22,149,13/02/2026,10/02/2026,584,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación con aminoácidos y extractos diseñada para mejorar estabilidad y respuesta en condiciones de estrés, adaptada a requisitos Marruecos.

Análisis técnico y posibles causas detectadas en ensayos:
Repetición del Protium AA Dadelos NPK (9-3-3); resultado inestable por saturación de sales que favorece cristalización en frío.

Igual que F1 pero con goma xantana para mejorar estabilidad y comportamiento reológico; previene precipitación de sólidos coloidales.",
22,21/2025,interno,R. ENRAIZADOR SUST. H,,"Se solicita el desarrollo de un fertilizante mineral NPK que constituye un proyecto de adaptación a requisitos de mercado exterior con adecuación a especificaciones regulatorias y técnicas del país destino. El objetivo es asegurar estabilidad físico-química, compatibilidad en mezcla y eficacia agronómica, garantizando cumplimiento normativo en el mercado Mundial y validación para liberación comercial.",NS/NC,NS/NC,NS/NC,NS/NC,Mundial,Sí,Sí,,2025-07-28,145,13/02/2026,10/02/2026,568,,"Problema reportado originalmente:
Durante el desarrollo no se registraron incidencias relevantes que afectaran al avance del proyecto.

Contexto técnico del proyecto:
Formulación enraizante con aminoácidos y microelementos orientada a sustituir versiones Honduras, mejorando estabilidad y compatibilidad. Cambio Hormonas

Análisis técnico y posibles causas detectadas en ensayos:
